"행정구역별(1)",행정구역별(2),주민등록인구수(등록외국인포함) (명),합계,합계,합계,종합병원 (개),종합병원 (개),종합병원 (개),병원 (개),병원 (개),의원 (개),의원 (개),특수병원 (개),특수병원 (개),요양병원 (개),요양병원 (개),치과병(의)원 (개),치과병(의)원 (개),한방병원 (개),한방병원 (개),한의원 (개),한의원 (개),조산소 (개),조산소 (개),부속병·의원 (개),부속병·의원 (개),보건의료원 (개),보건소 (개),보건지소 (개),보건진료소 (개)
"행정구역별(1)",행정구역별(2),소계,병원수 (개),병상수 (개),병상확보율 (%),병원수,병상수,만명당종합병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,소계,소계,소계,소계
"행정구역별(1)",행정구역별(2),2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"강원도",춘천시,277353,291,4138,1.49,2,933,0.07,5,866,138,387,4,1096,6,802,76,-,1,54,58,-,-,-,1,-,-,1,10,13
"강원도",원주시,327381,373,4651,1.42,2,1055,0.06,13,1508,174,798,3,546,6,674,85,-,1,70,88,-,-,-,1,-,-,1,9,8
"강원도",강릉시,218369,210,2344,1.07,4,1609,0.18,4,150,103,156,1,184,2,230,47,15,-,-,47,-,-,-,2,-,-,1,6,9
"강원도",동해시,95714,93,1069,1.12,1,378,0.10,2,520,50,133,-,-,2,38,21,-,-,-,17,-,-,-,-,-,-,1,1,-
"강원도",태백시,49058,42,737,1.50,1,535,0.20,-,-,25,202,-,-,-,-,9,-,-,-,7,-,-,-,-,-,-,1,1,1
"강원도",속초시,83803,112,966,1.15,1,180,0.12,2,426,59,252,-,-,1,79,24,-,-,-,25,29,-,-,-,-,-,1,-,-
"강원도",삼척시,73783,52,452,0.61,1,117,0.14,1,138,28,117,-,-,1,80,10,-,-,-,11,-,-,-,-,-,-,1,8,6
"강원도",홍천군,71360,61,855,1.20,1,132,0.14,2,268,28,191,-,-,3,264,14,-,-,-,13,-,-,-,-,-,-,1,8,18
"강원도",횡성군,45490,31,217,0.48,-,-,0.00,2,188,12,29,-,-,-,-,6,-,-,-,10,-,1,-,-,-,-,1,8,8
"강원도",영월군,40398,27,450,1.11,1,210,0.25,1,79,11,56,-,-,1,78,6,-,-,-,6,-,-,-,1,27,-,1,8,5
"강원도",평창군,43996,30,31,0.07,-,-,0.00,-,-,12,31,-,-,-,-,8,-,-,-,10,-,-,-,-,-,1,1,7,15
"강원도",정선군,40310,35,395,0.98,-,-,0.00,3,361,19,34,-,-,-,-,8,-,-,-,5,-,-,-,-,-,-,1,7,11
"강원도",철원군,48057,34,474,0.99,1,139,0.21,-,-,16,118,-,-,1,217,7,-,-,-,9,-,-,-,-,-,-,1,4,7
"강원도",화천군,25279,16,8,0.03,-,-,0.00,-,-,7,8,-,-,-,-,4,-,-,-,4,-,-,-,1,-,1,1,4,6
"강원도",양구군,23828,15,167,0.70,-,-,0.00,3,167,5,-,-,-,-,-,4,-,-,-,3,-,-,-,-,-,-,1,4,3
"강원도",인제군,32827,22,202,0.62,-,-,0.00,1,42,7,22,-,-,2,138,5,-,-,-,7,-,-,-,-,-,-,1,5,5
"강원도",고성군,30743,17,-,0.00,-,-,0.00,-,-,8,-,-,-,-,-,5,-,-,-,4,-,-,-,-,-,-,1,4,9
"강원도",양양군,27923,16,2,0.01,-,-,0.00,-,-,7,2,-,-,-,-,5,-,-,-,4,-,-,-,-,-,-,1,5,5
"충청북도",소계,1600163,1584,19610,1.23,11,4311,0.07,37,4543,772,3051,6,2314,36,5016,346,-,4,250,362,38,1,-,9,87,-,14,95,158
"충청북도",청주시,679301,783,7018,1.03,6,2837,0.09,16,1432,383,1333,-,-,9,1220,178,-,2,108,184,30,1,-,4,58,-,2,2,2
"충청북도",충주시,211383,202,2570,1.22,2,791,0.09,3,391,108,536,-,-,5,751,43,-,1,72,39,-,-,-,1,29,-,1,13,16
"충청북도",제천시,138629,153,2586,1.87,2,503,0.14,1,117,78,530,1,500,6,858,27,-,1,70,37,8,-,-,-,-,-,1,8,11
"충청북도",보은군,34725,31,656,1.89,-,-,0.00,2,310,15,29,-,-,2,317,5,-,-,-,7,-,-,-,-,-,-,1,7,15
"충청북도",옥천군,53468,53,1079,2.02,1,180,0.19,-,-,25,114,1,120,3,665,10,-,-,-,13,-,-,-,-,-,-,1,8,17
"충청북도",영동군,51071,48,669,1.31,-,-,0.00,1,151,23,99,-,-,3,419,9,-,-,-,12,-,-,-,-,-,-,1,10,17
"충청북도",증평군,35035,35,195,0.56,-,-,0.00,2,168,16,27,-,-,-,-,9,-,-,-,8,-,-,-,-,-,-,1,1,1
"충청북도",진천군,68218,56,722,1.06,-,-,0.00,1,299,26,83,1,60,2,280,12,-,-,-,13,-,-,-,1,-,-,1,6,7
"충청북도",괴산군,38675,24,299,0.77,-,-,0.00,2,160,11,23,1,116,-,-,5,-,-,-,5,-,-,-,-,-,-,1,12,17
"충청북도",음성군,99952,84,2564,2.57,-,-,0.00,5,966,38,146,1,1218,3,234,20,-,-,-,17,-,-,-,-,-,-,1,8,18
"충청북도",단양군,31390,17,211,0.67,-,-,0.00,1,74,6,65,-,-,1,72,4,-,-,-,5,-,-,-,-,-,-,1,7,14
