"","지점번호","지점명(한글)","예보구역코드","법정동코드"
"628",901,"울기","11H20100",3117010100
"629",902,"시천","11H20700",4886036027
"630",903,"도천","11H20600",4874040027
"631",904,"사상","11H20200",2653010500
"632",905,"양산상북","11H20102",4833033000
"633",906,"화개","11H20702",4885031000
"634",907,"삼천포","11H20402",4824011700
"635",908,"진해","11H20303",4812963000
"636",909,"서이말","11H20400",4831031024
"637",910,"영도","11H20200",2620012100
"638",911,"매물도","11H20400",4822036028
"639",912,"백천","11H20501",4887025027
"640",913,"상주면","11H20400",4884032022
"641",914,"서하","11H20500",4887037025
"642",915,"삼가","11H20500",4889043028
"643",916,"단성","11H20700",4886037022
"644",917,"사천","11H20400",4824033026
"645",918,"고성","11H20404",4882025032
"646",919,"창녕","11H20604",4874036025
"647",920,"함안","11H20603",4873025031
"648",921,"가덕도","11H20200",2644012200
"649",922,"단장","11H20600",4827035031
"650",923,"기장","11H20200",2671031022
"651",924,"간절곶","11H20100",3171031025
"652",925,"생림","11H20304",4825035025
"653",926,"진북","11H20300",4812533000
"654",927,"송백","11H20600",4827034021
"655",929,"개천","11H20400",4882038021
"656",930,"사량도","11H20400",4822037000
"657",931,"욕지도","11H20400",4822035021
"658",932,"하동","11H20700",4885025024
"659",933,"금남","11H20406",4885036027
"660",934,"수곡","11H20700",4817046022
"661",935,"청덕","11H20500",4889039033
"662",936,"신포","11H20602",4872032023
"663",937,"해운대","11H20200",2635010500
"664",938,"부산진","11H20200",2623011100
"665",939,"금정구","11H20200",2641010100
"666",940,"동래","11H20200",2626010500
"667",941,"북구","11H20200",2632010400
"668",942,"대연","11H20200",2629010600
"669",943,"매곡","11H20100",3120010300
"670",944,"길곡","11H20600",4874041021
"671",945,"대병","11H20500",4889045026
"672",946,"북상","11H20500",4888034022
"673",947,"명사","11H20400",4831033022
"674",948,"삼장","11H20700",4886035025
"675",949,"정자","11H20100",3120011800
"676",950,"사하","11H20200",2638010400
"677",951,"내장산","11F10200",4518011900
"678",953,"장목","11H20400",4831039026
"679",954,"온산","11H20100",3171025030
"680",955,"서수도","11B20200",2872037000
"681",956,"가대암","11C20100",4482533000
"682",957,"십이동파","21F10500",4513039022
"683",958,"갈매여","21F10600",4580042000
"684",959,"해수서","21F20200",4690036000
"685",960,"지귀도","11G00400",4972025327
"686",961,"간여암","11F20400",4613034026
"687",962,"광안","11H20200",2650010400
"688",963,"이덕서","11H20100",3.117e+09
"689",966,"풍도","11B20200",4127013300
"690",967,"도리도","11B20200",4159035032
"691",968,"남항","11H20200",2620011400
"692",969,"북항","11H20200",2629010700
